Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
21–23,Male,Yes,The Social Network,2–3 times,1–6 months ago,2,3,4,3,3,2,1,1,1,3,3.0,1.6
18–20,Male,Yes,Boyhood,2–3 times,1–6 months ago,3,4,3,4,2,3,3,4,2,2,3.2,2.8
Under 18,Male,Yes,Moana,2–3 times,Within last 1 month,5,3,4,3,4,4,4,3,3,4,3.8,3.6
24 or above,Prefer not to say,Yes,The Green Mile,2–3 times,More than 6 months ago,3,4,3,4,3,2,2,4,2,3,3.4,2.6
24 or above,Female,Yes,Atonement,2–3 times,More than 6 months ago,3,5,4,4,3,4,3,3,2,2,3.8,2.8
Under 18,Male,Yes,Tangled,2–3 times,Within last 1 month,4,3,3,3,3,3,4,3,3,4,3.2,3.4
21–23,Prefer not to say,Yes,Hachi A Dog's Tale,2–3 times,More than 6 months ago,3,4,3,3,3,4,3,2,4,3,3.2,3.2
24 or above,Female,Yes,12 Years a Slave,1 time,1–6 months ago,4,3,5,4,3,3,3,3,3,1,3.8,2.6
24 or above,Female,Yes,Past Lives,More than 3 times,More than 6 months ago,3,5,4,3,3,3,3,4,3,5,3.6,3.6
Under 18,Female,Yes,Tangled,2–3 times,1–6 months ago,4,5,5,5,5,4,5,5,5,5,4.8,4.8
Under 18,Female,Yes,Song of the Sea,More than 3 times,1–6 months ago,2,2,2,2,4,3,3,1,4,2,2.4,2.6
24 or above,Male,Yes,Son of Saul,More than 3 times,1–6 months ago,2,3,2,3,3,2,2,2,3,1,2.6,2.0
24 or above,Male,Yes,Million Dollar Baby,2–3 times,1–6 months ago,3,4,4,4,4,2,4,3,4,3,3.8,3.2
21–23,Male,Yes,Wild,1 time,Within last 1 month,3,4,5,5,5,3,5,4,4,5,4.4,4.2
21–23,Female,Yes,Bohemian Rhapsody,2–3 times,1–6 months ago,3,3,3,2,3,3,2,2,2,3,2.8,2.4
24 or above,Male,Yes,Incendies,1 time,More than 6 months ago,4,5,3,5,4,4,2,4,5,4,4.2,3.8
21–23,Prefer not to say,Yes,La La Land,2–3 times,1–6 months ago,4,3,3,3,4,3,3,4,3,2,3.4,3.0
21–23,Female,Yes,Her,2–3 times,1–6 months ago,5,2,3,4,4,2,3,3,4,5,3.6,3.4
Under 18,Female,Yes,Pinocchio,More than 3 times,More than 6 months ago,1,1,2,3,2,3,1,2,3,3,1.8,2.4
24 or above,Female,Yes,Out of Africa,1 time,Within last 1 month,4,3,5,4,3,2,4,2,3,2,3.8,2.6
18–20,Female,Yes,Joker,More than 3 times,Within last 1 month,2,4,4,3,4,2,4,3,2,3,3.4,2.8
21–23,Female,Yes,The Theory of Everything,1 time,1–6 months ago,4,5,3,4,4,3,3,5,5,3,4.0,3.8
21–23,Male,Yes,Boyhood,More than 3 times,1–6 months ago,4,4,3,4,5,5,4,5,5,5,4.0,4.8
Under 18,Male,Yes,The Princess and the Frog,More than 3 times,Within last 1 month,3,5,3,5,5,3,4,3,4,5,4.2,3.8
Under 18,Male,Yes,Brother Bear,2–3 times,1–6 months ago,5,4,4,5,5,5,5,4,4,4,4.6,4.4
21–23,Female,Yes,Forrest Gump,More than 3 times,1–6 months ago,3,4,4,4,4,4,4,5,5,5,3.8,4.6
Under 18,Female,Yes,Spirited Away,2–3 times,Within last 1 month,3,3,4,3,4,4,3,3,4,4,3.4,3.6
24 or above,Female,Yes,Love Story,More than 3 times,1–6 months ago,5,4,5,5,5,4,4,3,5,3,4.8,3.8
24 or above,Prefer not to say,Yes,The Lives of Others,2–3 times,Within last 1 month,5,4,5,4,5,4,4,5,4,4,4.6,4.2
18–20,Female,Yes,La La Land,1 time,Within last 1 month,4,4,4,4,5,5,4,5,5,4,4.2,4.6
18–20,Female,Yes,Me Before You,2–3 times,Within last 1 month,4,4,5,5,5,5,5,5,5,5,4.6,5.0
Under 18,Male,Yes,Luca,1 time,Within last 1 month,4,5,5,4,4,3,3,4,3,4,4.4,3.4
21–23,Male,Yes,Room,More than 3 times,Within last 1 month,3,3,3,2,4,1,1,1,3,2,3.0,1.6
18–20,Female,Yes,Crazy Rich Asians,More than 3 times,Within last 1 month,5,4,3,4,5,5,5,4,4,5,4.2,4.6
21–23,Male,Yes,Pan's Labyrinth,2–3 times,1–6 months ago,3,2,2,3,3,3,2,3,4,3,2.6,3.0
24 or above,Male,Yes,The English Patient,More than 3 times,More than 6 months ago,5,5,4,4,4,4,4,2,5,4,4.4,3.8
18–20,Female,Yes,Moonlight,1 time,1–6 months ago,3,3,5,4,4,3,4,3,4,4,3.8,3.6
24 or above,Prefer not to say,Yes,Hiroshima Mon Amour,1 time,Within last 1 month,5,5,5,4,5,3,5,5,5,4,4.8,4.4
24 or above,Female,Yes,Scenes from a Marriage,More than 3 times,Within last 1 month,4,5,5,5,4,3,5,5,5,5,4.6,4.6
24 or above,Male,Yes,Titanic,2–3 times,1–6 months ago,5,5,5,5,4,5,3,3,5,5,4.8,4.2
21–23,Female,Yes,Her,1 time,More than 6 months ago,4,2,4,5,2,2,1,2,2,1,3.4,1.6
24 or above,Female,Yes,The Theory of Everything,2–3 times,More than 6 months ago,4,3,3,4,4,4,4,3,4,4,3.6,3.8
24 or above,Male,Yes,Love Actually,More than 3 times,1–6 months ago,2,4,3,4,3,3,1,4,2,4,3.2,2.8
Under 18,Male,Yes,Matilda,2–3 times,More than 6 months ago,5,5,5,5,5,3,5,5,5,4,5.0,4.4
24 or above,Female,Yes,The Bicycle Thief,More than 3 times,More than 6 months ago,3,4,2,4,4,5,5,5,5,4,3.4,4.8
18–20,Female,Yes,Everything Everywhere All at Once,More than 3 times,1–6 months ago,4,2,2,4,3,2,2,2,3,3,3.0,2.4
21–23,Prefer not to say,Yes,Marriage Story,1 time,Within last 1 month,3,4,4,2,3,3,4,3,4,4,3.2,3.6
Under 18,Male,Yes,Moana,2–3 times,Within last 1 month,4,5,4,5,3,4,4,3,3,3,4.2,3.4
18–20,Female,Yes,Little Women,1 time,More than 6 months ago,4,3,3,4,5,4,3,3,3,3,3.8,3.2
21–23,Female,Yes,The Theory of Everything,1 time,1–6 months ago,4,2,4,4,3,5,5,4,4,4,3.4,4.4
24 or above,Female,Yes,Fanny and Alexander,More than 3 times,More than 6 months ago,5,4,2,4,2,4,3,3,3,3,3.4,3.2
21–23,Male,Yes,The Kite Runner,More than 3 times,1–6 months ago,4,4,4,4,4,4,4,5,4,4,4.0,4.2
21–23,Male,Yes,Whiplash,1 time,More than 6 months ago,5,5,5,5,5,5,4,3,5,4,5.0,4.2
21–23,Female,Yes,La La Land,1 time,1–6 months ago,4,5,5,4,4,4,4,5,3,5,4.4,4.2
Under 18,Female,Yes,The Land Before Time,2–3 times,1–6 months ago,3,2,2,4,1,4,2,3,4,2,2.4,3.0
18–20,Female,Yes,Arrival,2–3 times,More than 6 months ago,4,4,4,4,3,3,4,5,3,3,3.8,3.6
18–20,Male,Yes,Lady Bird,1 time,Within last 1 month,3,3,2,3,3,4,3,2,4,4,2.8,3.4
24 or above,Female,Yes,Past Lives,1 time,Within last 1 month,3,3,2,3,3,2,1,1,3,2,2.8,1.8
24 or above,Male,Yes,Ghost,More than 3 times,More than 6 months ago,3,3,4,4,3,3,3,3,3,3,3.4,3.0
Under 18,Female,Yes,Princess Mononoke,2–3 times,Within last 1 month,4,3,3,3,3,4,4,4,2,3,3.2,3.4
21–23,Female,Yes,Hachi A Dog's Tale,More than 3 times,Within last 1 month,4,3,5,5,5,4,4,3,5,2,4.4,3.6
24 or above,Male,Yes,Boys Don't Cry,More than 3 times,1–6 months ago,3,3,4,3,4,3,3,4,3,2,3.4,3.0
24 or above,Male,Yes,An Affair to Remember,1 time,Within last 1 month,5,4,4,5,3,4,4,4,3,5,4.2,4.0
18–20,Female,Yes,The Notebook,2–3 times,1–6 months ago,3,2,3,2,3,3,2,3,3,4,2.6,3.0
24 or above,Female,Yes,Sophie's Choice,More than 3 times,1–6 months ago,3,3,2,1,2,3,3,3,2,2,2.2,2.6
24 or above,Female,Yes,Truly Madly Deeply,2–3 times,More than 6 months ago,4,3,3,3,4,3,3,4,5,4,3.4,3.8
24 or above,Female,Yes,The King's Speech,2–3 times,1–6 months ago,5,5,5,5,5,5,4,4,5,4,5.0,4.4
21–23,Female,Yes,Brooklyn,2–3 times,More than 6 months ago,3,4,2,4,2,3,3,4,4,2,3.0,3.2
24 or above,Female,Yes,Shadowlands,1 time,Within last 1 month,4,4,4,3,5,4,4,3,5,3,4.0,3.8
21–23,Female,Yes,Dead Poets Society,2–3 times,1–6 months ago,3,2,3,1,2,2,1,1,1,1,2.2,1.2
21–23,Female,Yes,Bohemian Rhapsody,1 time,1–6 months ago,3,1,2,3,3,3,3,4,1,3,2.4,2.8
24 or above,Male,Yes,Out of Africa,1 time,More than 6 months ago,5,4,5,5,5,5,5,5,4,4,4.8,4.6
18–20,Prefer not to say,Yes,The Shawshank Redemption,2–3 times,More than 6 months ago,3,3,4,2,4,5,3,4,4,3,3.2,3.8
24 or above,Female,Yes,Three Billboards Outside Ebbing Missouri,1 time,1–6 months ago,1,3,3,2,2,2,1,3,2,2,2.2,2.0
Under 18,Female,Yes,Moana,More than 3 times,1–6 months ago,3,4,4,3,3,4,2,3,3,3,3.4,3.0
Under 18,Female,Yes,The Secret Garden,1 time,1–6 months ago,2,2,3,1,3,1,2,3,2,1,2.2,1.8
24 or above,Male,Yes,Mystic River,More than 3 times,Within last 1 month,2,3,2,4,3,3,4,4,3,3,2.8,3.4
21–23,Female,Yes,Rocketman,1 time,1–6 months ago,4,4,3,4,3,2,2,1,3,2,3.6,2.0
24 or above,Prefer not to say,Yes,A Little Life,1 time,Within last 1 month,2,1,2,3,1,2,2,1,1,1,1.8,1.4
Under 18,Female,Yes,The Princess and the Frog,2–3 times,Within last 1 month,3,4,4,4,3,5,5,4,5,5,3.6,4.8
18–20,Female,Yes,Normal People,More than 3 times,Within last 1 month,3,3,3,3,4,3,3,2,4,4,3.2,3.2
24 or above,Female,Yes,The Piano,1 time,Within last 1 month,3,5,3,4,4,3,4,4,4,3,3.8,3.6
21–23,Male,Yes,Eternal Sunshine of the Spotless Mind,1 time,1–6 months ago,3,4,5,3,3,3,3,3,2,3,3.6,2.8
Under 18,Female,Yes,Song of the Sea,More than 3 times,Within last 1 month,5,5,5,5,5,3,4,4,4,5,5.0,4.0
21–23,Female,Yes,Whiplash,More than 3 times,1–6 months ago,4,4,5,4,4,4,3,4,5,3,4.2,3.8
Under 18,Female,Yes,My Neighbor Totoro,1 time,1–6 months ago,3,3,4,3,1,4,4,3,4,3,2.8,3.6
21–23,Female,Yes,Your Name,More than 3 times,Within last 1 month,3,5,5,4,3,4,3,2,4,4,4.0,3.4
24 or above,Prefer not to say,Yes,Midnight Cowboy,2–3 times,1–6 months ago,4,3,4,2,4,4,3,3,3,2,3.4,3.0
18–20,Male,Yes,Marriage Story,2–3 times,More than 6 months ago,3,1,2,3,4,3,2,2,2,2,2.6,2.2
18–20,Male,Yes,The Perks of Being a Wallflower,More than 3 times,1–6 months ago,2,3,2,1,2,2,2,3,3,4,2.0,2.8
18–20,Male,Yes,Titanic,2–3 times,1–6 months ago,3,4,5,5,3,4,3,2,2,4,4.0,3.0
Under 18,Female,Yes,Mirai,2–3 times,Within last 1 month,1,2,3,2,2,1,3,2,3,3,2.0,2.4
18–20,Prefer not to say,Yes,Little Women,2–3 times,Within last 1 month,3,3,3,2,3,1,2,3,2,2,2.8,2.0
24 or above,Male,Yes,Forrest Gump,1 time,Within last 1 month,4,2,5,4,3,4,3,3,1,3,3.6,2.8
21–23,Male,Yes,Nightcrawler,2–3 times,1–6 months ago,2,3,3,4,4,3,3,2,4,4,3.2,3.2
21–23,Female,Yes,The Boy in the Striped Pyjamas,More than 3 times,1–6 months ago,4,4,3,5,4,3,3,5,4,5,4.0,4.0
18–20,Male,Yes,Call Me by Your Name,1 time,1–6 months ago,3,2,1,4,2,2,2,2,4,3,2.4,2.6
18–20,Prefer not to say,Yes,Joker,1 time,Within last 1 month,5,5,4,5,5,4,3,4,3,4,4.8,3.6
24 or above,Male,Yes,Steel Magnolias,1 time,Within last 1 month,3,3,2,2,4,3,3,4,3,2,2.8,3.0
21–23,Male,Yes,Manchester by the Sea,2–3 times,Within last 1 month,4,4,1,3,5,4,3,2,2,5,3.4,3.2
21–23,Male,Yes,Interstellar,1 time,1–6 months ago,5,3,3,4,4,4,4,2,3,4,3.8,3.4
21–23,Female,Yes,Moonlight,1 time,More than 6 months ago,3,3,2,3,4,2,4,4,3,3,3.0,3.2
18–20,Prefer not to say,Yes,Avengers Endgame,2–3 times,1–6 months ago,5,2,3,4,4,3,5,2,2,2,3.6,2.8
Under 18,Male,Yes,The Lion King,1 time,Within last 1 month,4,5,3,5,5,5,3,4,5,4,4.4,4.2
24 or above,Female,Yes,Son of Saul,More than 3 times,Within last 1 month,2,3,4,4,3,2,2,1,3,3,3.2,2.2
24 or above,Male,Yes,Marriage Story,1 time,More than 6 months ago,4,3,3,2,2,3,4,3,3,2,2.8,3.0
Under 18,Female,Yes,The Land Before Time,2–3 times,1–6 months ago,4,5,4,4,4,3,4,4,3,4,4.2,3.6
Under 18,Male,Yes,Aladdin,2–3 times,1–6 months ago,2,3,2,3,4,2,4,2,3,3,2.8,2.8
18–20,Female,Yes,Dead Poets Society,More than 3 times,1–6 months ago,4,5,5,5,5,4,4,5,5,5,4.8,4.6
21–23,Female,Yes,A Silent Voice,1 time,1–6 months ago,3,4,4,5,5,2,4,4,3,3,4.2,3.2
18–20,Prefer not to say,Yes,Titanic,1 time,1–6 months ago,4,4,4,3,3,3,3,3,4,3,3.6,3.2
21–23,Female,Yes,Dead Poets Society,More than 3 times,More than 6 months ago,3,3,4,3,3,3,4,3,2,2,3.2,2.8
21–23,Male,Yes,Past Lives,1 time,1–6 months ago,3,3,2,2,2,3,2,2,3,2,2.4,2.4
21–23,Female,Yes,Hachi A Dog's Tale,1 time,More than 6 months ago,5,5,5,5,5,5,5,4,4,4,5.0,4.4
18–20,Female,Yes,Me Before You,1 time,Within last 1 month,4,4,4,5,3,5,3,2,3,3,4.0,3.2
21–23,Male,Yes,Brokeback Mountain,1 time,Within last 1 month,3,4,2,4,3,4,3,3,3,4,3.2,3.4
Under 18,Female,Yes,Brother Bear,More than 3 times,1–6 months ago,4,3,4,4,5,4,3,2,3,2,4.0,2.8
18–20,Female,Yes,About Time,2–3 times,Within last 1 month,2,3,3,3,3,4,4,3,4,4,2.8,3.8
21–23,Male,Yes,Pride and Prejudice,2–3 times,1–6 months ago,5,5,3,5,4,4,3,4,2,4,4.4,3.4
24 or above,Male,Yes,Sophie's Choice,1 time,Within last 1 month,3,4,5,5,4,2,2,4,4,3,4.2,3.0
21–23,Male,Yes,About Time,More than 3 times,Within last 1 month,5,5,3,4,3,4,5,4,4,3,4.0,4.0
21–23,Male,Yes,Nomadland,More than 3 times,1–6 months ago,3,3,4,3,4,5,5,5,3,4,3.4,4.4
21–23,Female,Yes,The Farewell,2–3 times,1–6 months ago,5,5,4,5,5,5,5,4,5,3,4.8,4.4
21–23,Male,Yes,12 Years a Slave,More than 3 times,1–6 months ago,4,4,3,3,3,3,4,4,4,3,3.4,3.6
18–20,Prefer not to say,Yes,Love Simon,More than 3 times,More than 6 months ago,3,3,5,3,1,2,3,2,2,3,3.0,2.4
Under 18,Male,Yes,A Silent Voice,More than 3 times,Within last 1 month,2,4,3,4,4,4,2,4,3,5,3.4,3.6
21–23,Male,Yes,Boyhood,2–3 times,1–6 months ago,4,3,4,4,3,3,5,3,3,5,3.6,3.8
21–23,Female,Yes,Past Lives,1 time,More than 6 months ago,4,4,4,4,4,3,4,4,3,4,4.0,3.6
24 or above,Prefer not to say,Yes,Sense and Sensibility,1 time,1–6 months ago,4,3,3,3,2,3,1,2,3,3,3.0,2.4
24 or above,Male,Yes,Saving Private Ryan,1 time,Within last 1 month,3,4,3,3,4,4,4,3,4,4,3.4,3.8
Under 18,Female,Yes,Ratatouille,2–3 times,Within last 1 month,3,3,4,4,3,4,3,2,2,3,3.4,2.8
Under 18,Female,Yes,Lilo and Stitch,1 time,Within last 1 month,3,4,3,4,1,4,4,3,3,4,3.0,3.6
24 or above,Female,Yes,Past Lives,More than 3 times,Within last 1 month,5,3,3,5,2,2,2,3,3,3,3.6,2.6
21–23,Prefer not to say,Yes,Whiplash,2–3 times,1–6 months ago,5,5,5,4,5,5,4,5,4,3,4.8,4.2
18–20,Female,Yes,Lady Bird,More than 3 times,1–6 months ago,4,4,3,3,4,3,3,3,3,5,3.6,3.4
21–23,Male,Yes,A Separation,2–3 times,More than 6 months ago,5,4,3,3,3,2,3,3,3,3,3.6,2.8
18–20,Female,Yes,To All the Boys I've Loved Before,1 time,1–6 months ago,4,3,3,2,4,2,3,1,3,2,3.2,2.2
Under 18,Prefer not to say,Yes,Brave,2–3 times,More than 6 months ago,1,3,2,2,3,2,2,3,2,3,2.2,2.4
21–23,Male,Yes,Past Lives,2–3 times,1–6 months ago,3,3,3,4,4,4,4,5,4,3,3.4,4.0
18–20,Female,Yes,About Time,2–3 times,Within last 1 month,3,3,4,3,2,4,3,2,3,3,3.0,3.0
21–23,Male,Yes,Eternal Sunshine of the Spotless Mind,More than 3 times,More than 6 months ago,4,4,5,5,5,5,4,5,2,4,4.6,4.0
24 or above,Male,Yes,Blue Valentine,1 time,1–6 months ago,3,1,2,3,2,3,2,2,2,1,2.2,2.0
21–23,Female,Yes,Nightcrawler,More than 3 times,1–6 months ago,2,4,3,4,3,3,4,5,4,4,3.2,4.0
18–20,Female,Yes,Boyhood,1 time,Within last 1 month,3,4,3,3,2,2,4,4,2,2,3.0,2.8
18–20,Prefer not to say,Yes,Her,1 time,Within last 1 month,5,4,3,5,4,5,3,3,4,4,4.2,3.8
21–23,Male,Yes,The Pursuit of Happyness,1 time,1–6 months ago,4,5,5,5,4,5,4,4,4,4,4.6,4.2
24 or above,Male,Yes,Glory,2–3 times,More than 6 months ago,5,4,3,5,2,4,5,4,5,3,3.8,4.2
21–23,Female,Yes,Her,1 time,More than 6 months ago,3,3,3,3,4,3,2,3,3,2,3.2,2.6
24 or above,Male,Yes,Brokeback Mountain,2–3 times,More than 6 months ago,5,5,5,4,4,3,4,3,3,3,4.6,3.2
18–20,Male,Yes,The Perks of Being a Wallflower,1 time,Within last 1 month,2,1,1,4,2,2,1,2,2,2,2.0,1.8
24 or above,Male,Yes,About Time,More than 3 times,1–6 months ago,3,2,3,4,2,2,3,2,3,2,2.8,2.4
18–20,Male,Yes,Marriage Story,More than 3 times,Within last 1 month,2,3,5,4,3,3,3,2,2,3,3.4,2.6
24 or above,Female,Yes,Notting Hill,2–3 times,1–6 months ago,4,5,4,3,4,3,4,2,3,4,4.0,3.2
18–20,Female,Yes,Silver Linings Playbook,1 time,More than 6 months ago,2,3,3,2,1,3,1,3,3,4,2.2,2.8
21–23,Male,Yes,Wild,2–3 times,1–6 months ago,5,4,3,3,5,3,5,2,4,5,4.0,3.8
24 or above,Prefer not to say,Yes,The Lives of Others,2–3 times,Within last 1 month,5,5,5,5,3,4,4,4,4,5,4.6,4.2
Under 18,Male,Yes,Inside Out,More than 3 times,1–6 months ago,5,5,4,5,4,4,4,4,5,5,4.6,4.4
21–23,Female,Yes,Lion,2–3 times,1–6 months ago,4,3,3,4,3,4,4,2,3,3,3.4,3.2
18–20,Male,Yes,Where the Crawdads Sing,More than 3 times,More than 6 months ago,2,1,2,2,2,4,2,2,2,2,1.8,2.4
24 or above,Female,Yes,Good Will Hunting,1 time,More than 6 months ago,3,4,4,4,5,4,4,3,5,3,4.0,3.8
24 or above,Female,Yes,The Pursuit of Happyness,1 time,More than 6 months ago,5,4,4,5,5,4,4,4,4,3,4.6,3.8
24 or above,Male,Yes,Belfast,2–3 times,More than 6 months ago,5,5,5,5,5,3,4,4,4,4,5.0,3.8
24 or above,Female,Yes,Beaches,2–3 times,Within last 1 month,4,4,3,4,3,4,4,3,2,4,3.6,3.4
24 or above,Female,Yes,1917,2–3 times,1–6 months ago,3,4,3,3,4,3,4,5,4,2,3.4,3.6
Under 18,Prefer not to say,Yes,Song of the Sea,More than 3 times,Within last 1 month,5,5,5,3,5,5,4,4,5,4,4.6,4.4
18–20,Female,Yes,Your Name,2–3 times,1–6 months ago,5,4,4,3,4,5,3,3,3,4,4.0,3.6
21–23,Female,Yes,Before Sunset,2–3 times,More than 6 months ago,5,3,4,4,5,5,4,5,5,5,4.2,4.8
Under 18,Female,Yes,Brother Bear,1 time,More than 6 months ago,4,4,5,4,5,3,2,3,3,4,4.4,3.0
24 or above,Male,Yes,Boys Don't Cry,1 time,Within last 1 month,5,5,3,5,5,5,3,3,4,4,4.6,3.8
18–20,Male,Yes,The Notebook,1 time,Within last 1 month,3,2,3,3,2,2,4,4,4,3,2.6,3.4
21–23,Prefer not to say,Yes,Nightcrawler,More than 3 times,More than 6 months ago,4,5,4,4,2,4,5,3,3,4,3.8,3.8
18–20,Male,Yes,Interstellar,2–3 times,1–6 months ago,2,3,3,4,3,5,3,3,4,3,3.0,3.6
21–23,Male,Yes,12 Years a Slave,1 time,Within last 1 month,4,3,4,4,4,4,5,4,4,3,3.8,4.0
Under 18,Female,Yes,Mirai,More than 3 times,More than 6 months ago,2,3,4,3,5,4,2,4,3,5,3.4,3.6
18–20,Female,Yes,Portrait of a Lady on Fire,2–3 times,Within last 1 month,3,4,3,3,4,2,2,2,2,2,3.4,2.0
18–20,Female,Yes,Logan,2–3 times,More than 6 months ago,3,3,3,2,2,3,2,1,3,3,2.6,2.4
Under 18,Male,Yes,Bambi,2–3 times,1–6 months ago,4,5,4,4,5,5,5,5,5,4,4.4,4.8
Under 18,Male,Yes,How to Train Your Dragon,More than 3 times,Within last 1 month,4,4,4,3,2,3,3,4,4,5,3.4,3.8
18–20,Male,Yes,Her,2–3 times,1–6 months ago,3,4,3,3,2,1,1,2,2,2,3.0,1.6
18–20,Female,Yes,Marriage Story,2–3 times,More than 6 months ago,2,2,4,2,3,2,2,2,2,2,2.6,2.0
24 or above,Female,Yes,Fried Green Tomatoes,1 time,More than 6 months ago,3,3,3,4,3,4,3,3,3,4,3.2,3.4
21–23,Female,Yes,Bohemian Rhapsody,2–3 times,Within last 1 month,3,2,1,2,2,3,1,2,2,3,2.0,2.2
24 or above,Male,Yes,Ordinary People,2–3 times,1–6 months ago,4,4,4,5,5,5,4,2,3,4,4.4,3.6
Under 18,Male,Yes,Finding Nemo,2–3 times,1–6 months ago,4,4,3,3,3,3,3,3,2,2,3.4,2.6
24 or above,Male,Yes,Philadelphia,1 time,1–6 months ago,3,1,3,3,2,2,1,1,2,2,2.4,1.6
24 or above,Female,Yes,About Time,2–3 times,More than 6 months ago,4,3,3,2,3,3,3,3,3,3,3.0,3.0
21–23,Male,Yes,Call Me by Your Name,2–3 times,More than 6 months ago,2,2,2,2,3,3,2,1,3,2,2.2,2.2
24 or above,Female,Yes,Marriage Story,2–3 times,1–6 months ago,4,4,2,3,5,3,4,5,4,4,3.6,4.0
24 or above,Female,Yes,Incendies,1 time,More than 6 months ago,5,4,4,5,5,4,4,4,3,3,4.6,3.6
18–20,Female,Yes,Love Rosie,More than 3 times,Within last 1 month,3,2,2,2,1,2,3,1,2,2,2.0,2.0
21–23,Prefer not to say,Yes,A Ghost Story,2–3 times,More than 6 months ago,2,3,4,4,3,2,3,2,2,2,3.2,2.2
18–20,Female,Yes,La La Land,2–3 times,Within last 1 month,3,5,4,2,4,3,3,4,3,5,3.6,3.6
24 or above,Female,Yes,Love Actually,2–3 times,1–6 months ago,3,3,3,2,3,2,2,5,4,4,2.8,3.4
21–23,Prefer not to say,Yes,Good Will Hunting,More than 3 times,Within last 1 month,3,2,4,2,4,3,3,3,4,2,3.0,3.0
21–23,Male,Yes,Portrait of a Lady on Fire,2–3 times,1–6 months ago,4,3,4,4,4,4,4,4,1,4,3.8,3.4
18–20,Male,Yes,The Notebook,1 time,1–6 months ago,2,3,5,3,3,4,4,4,3,5,3.2,4.0
21–23,Male,Yes,Schindler's List,More than 3 times,Within last 1 month,3,2,2,2,1,1,3,2,1,1,2.0,1.6
21–23,Male,Yes,Moonlight,2–3 times,1–6 months ago,4,4,4,4,5,4,2,4,4,2,4.2,3.2
